model_name,image_name,dice,iou,ssim,accuracy,precision,recall,f1_score,hausdorff
MyModel,SHSY5Y_Phase_C10_1_00d08h00m_4.png,0.83028,0.709811,0.997737,0.960394,0.754141,0.92352,0.83028,76.687678
MyModel,SHSY5Y_Phase_C10_1_00d12h00m_2.png,0.800401,0.667223,0.996436,0.952644,0.696573,0.940602,0.800401,74.0
MyModel,SHSY5Y_Phase_C10_1_00d12h00m_3.png,0.794369,0.658882,0.996208,0.948771,0.684324,0.946587,0.794369,80.777472
MyModel,SHSY5Y_Phase_C10_1_00d12h00m_4.png,0.851885,0.741986,0.997714,0.95693,0.785388,0.930684,0.851885,33.54102
MyModel,SHSY5Y_Phase_C10_1_00d16h00m_1.png,0.843881,0.729926,0.996913,0.947528,0.785012,0.912295,0.843881,94.339811
MyModel,SHSY5Y_Phase_C10_1_00d16h00m_2.png,0.8224,0.698369,0.996657,0.944884,0.730965,0.939979,0.8224,159.012578
MyModel,SHSY5Y_Phase_C10_1_00d16h00m_3.png,0.812659,0.684436,0.996178,0.942338,0.72292,0.927835,0.812659,80.956779
MyModel,SHSY5Y_Phase_C10_1_00d16h00m_4.png,0.786932,0.648712,0.995307,0.933676,0.673704,0.945908,0.786932,57.489129
MyModel,SHSY5Y_Phase_C10_1_00d20h00m_1.png,0.768349,0.623836,0.993378,0.915663,0.651367,0.936548,0.768349,73.681748
MyModel,SHSY5Y_Phase_C10_1_00d20h00m_2.png,0.787605,0.649628,0.995034,0.926696,0.683354,0.929392,0.787605,71.007042
MyModel,SHSY5Y_Phase_C10_1_00d20h00m_3.png,0.829781,0.709082,0.996482,0.941731,0.755873,0.919708,0.829781,77.058419
MyModel,SHSY5Y_Phase_C10_1_00d20h00m_4.png,0.789218,0.651825,0.99449,0.922522,0.687731,0.925844,0.789218,62.681736
MyModel,SHSY5Y_Phase_C10_1_01d00h00m_1.png,0.831891,0.712169,0.994253,0.925071,0.761837,0.916133,0.831891,88.865066
MyModel,SHSY5Y_Phase_C10_1_01d00h00m_2.png,0.800514,0.667381,0.993912,0.914729,0.720856,0.899964,0.800514,68.44706
MyModel,SHSY5Y_Phase_C10_1_01d00h00m_3.png,0.78667,0.648356,0.993241,0.908282,0.694952,0.906279,0.78667,108.853112
MyModel,SHSY5Y_Phase_C10_1_01d04h00m_1.png,0.814548,0.68712,0.993043,0.905004,0.770174,0.864347,0.814548,89.196412
MyModel,SHSY5Y_Phase_C10_1_01d04h00m_2.png,0.836151,0.718435,0.995514,0.920935,0.772004,0.911923,0.836151,28.84441
MyModel,SHSY5Y_Phase_C10_1_01d04h00m_4.png,0.813742,0.685974,0.994265,0.910386,0.740963,0.902375,0.813742,38.483763
MyModel,SHSY5Y_Phase_C10_1_01d08h00m_1.png,0.693543,0.530858,0.984454,0.83496,0.579437,0.863611,0.693543,124.555209
MyModel,SHSY5Y_Phase_C10_1_01d08h00m_2.png,0.699973,0.53843,0.986141,0.851672,0.580204,0.882053,0.699973,51.86521
MyModel,SHSY5Y_Phase_C10_1_01d08h00m_3.png,0.857708,0.750866,0.993725,0.911978,0.877894,0.83843,0.857708,79.624117
MyModel,SHSY5Y_Phase_C10_1_01d08h00m_4.png,0.815598,0.688616,0.991628,0.891753,0.820789,0.810473,0.815598,55.217751
MyModel,SHSY5Y_Phase_C10_1_01d12h00m_1.png,0.823777,0.700358,0.989188,0.865617,0.834366,0.813453,0.823777,78.587531
MyModel,SHSY5Y_Phase_C10_1_01d12h00m_2.png,0.740806,0.588318,0.988496,0.859566,0.595741,0.97926,0.740806,63.06346
MyModel,SHSY5Y_Phase_C10_1_01d12h00m_3.png,0.835725,0.717807,0.991933,0.897247,0.765966,0.919463,0.835725,43.011626
MyModel,SHSY5Y_Phase_C10_1_01d12h00m_4.png,0.847571,0.735465,0.9937,0.90445,0.804901,0.895017,0.847571,31.240999
MyModel,SHSY5Y_Phase_C10_1_01d16h00m_1.png,0.87851,0.783341,0.993949,0.899735,0.852995,0.905598,0.87851,37.054015
MyModel,SHSY5Y_Phase_C10_1_01d16h00m_2.png,0.823237,0.699578,0.993168,0.885424,0.727692,0.947665,0.823237,51.623638
MyModel,SHSY5Y_Phase_C10_1_01d16h00m_3.png,0.811326,0.682547,0.99233,0.880105,0.706842,0.952059,0.811326,39.051248
MyModel,SHSY5Y_Phase_C10_1_01d16h00m_4.png,0.816455,0.689839,0.992772,0.87978,0.715307,0.950921,0.816455,49.73932
MyModel,SHSY5Y_Phase_C10_1_01d20h00m_1.png,0.877715,0.782079,0.993458,0.891387,0.818102,0.946699,0.877715,41.340053
MyModel,SHSY5Y_Phase_C10_1_01d20h00m_2.png,0.851792,0.741844,0.992914,0.892111,0.770778,0.951837,0.851792,39.051248
MyModel,SHSY5Y_Phase_C10_1_01d20h00m_4.png,0.803057,0.670923,0.989683,0.850484,0.688346,0.963645,0.803057,55.973208
MyModel,SHSY5Y_Phase_C10_1_02d00h00m_3.png,0.847871,0.735917,0.992636,0.873596,0.772421,0.939657,0.847871,41.231056
MyModel,SHSY5Y_Phase_C10_1_02d00h00m_4.png,0.852874,0.743487,0.991183,0.868878,0.794699,0.920238,0.852874,49.406477
MyModel,SHSY5Y_Phase_C10_1_02d04h00m_1.png,0.855111,0.746894,0.988148,0.842387,0.788618,0.933849,0.855111,37.121422
MyModel,SHSY5Y_Phase_C10_1_02d04h00m_2.png,0.840984,0.725602,0.991094,0.866253,0.75108,0.955337,0.840984,42.953463
